State,Year,Age,Total
Malaysia,1982,15 to 19,662600
Malaysia,1982,20 to 24,1062300
Malaysia,1982,25 to 29,871900
Malaysia,1982,30 to 34,718400
Malaysia,1982,35 to 39,555300
Malaysia,1982,40 to 44,511600
Malaysia,1982,45 to 49,393200
Malaysia,1982,50 to 54,316500
Malaysia,1982,55 to 59,199100
Malaysia,1982,60 to 64,140500
Malaysia,1983,15 to 19,684800
Malaysia,1983,20 to 24,1095400
Malaysia,1983,25 to 29,918900
Malaysia,1983,30 to 34,753100
Malaysia,1983,35 to 39,585800
Malaysia,1983,40 to 44,517300
Malaysia,1983,45 to 49,432500
Malaysia,1983,50 to 54,320200
Malaysia,1983,55 to 59,207900
Malaysia,1983,60 to 64,155900
Malaysia,1984,15 to 19,658100
Malaysia,1984,20 to 24,1146500
Malaysia,1984,25 to 29,959900
Malaysia,1984,30 to 34,792900
Malaysia,1984,35 to 39,638800
Malaysia,1984,40 to 44,521600
Malaysia,1984,45 to 49,457800
Malaysia,1984,50 to 54,321400
Malaysia,1984,55 to 59,214600
Malaysia,1984,60 to 64,151000
Malaysia,1985,15 to 19,662800
Malaysia,1985,20 to 24,1172300
Malaysia,1985,25 to 29,984800
Malaysia,1985,30 to 34,809300
Malaysia,1985,35 to 39,673900
Malaysia,1985,40 to 44,521200
Malaysia,1985,45 to 49,473200
Malaysia,1985,50 to 54,320300
Malaysia,1985,55 to 59,229500
Malaysia,1985,60 to 64,142900
Malaysia,1986,15 to 19,698100
Malaysia,1986,20 to 24,1211700
Malaysia,1986,25 to 29,1015600
Malaysia,1986,30 to 34,852600
Malaysia,1986,35 to 39,703600
Malaysia,1986,40 to 44,530700
Malaysia,1986,45 to 49,483000
Malaysia,1986,50 to 54,344000
Malaysia,1986,55 to 59,236200
Malaysia,1986,60 to 64,146500
Malaysia,1987,15 to 19,707900
Malaysia,1987,20 to 24,1228300
Malaysia,1987,25 to 29,1068300
Malaysia,1987,30 to 34,885000
Malaysia,1987,35 to 39,746300
Malaysia,1987,40 to 44,558900
Malaysia,1987,45 to 49,503400
Malaysia,1987,50 to 54,363400
Malaysia,1987,55 to 59,240300
Malaysia,1987,60 to 64,155100
Malaysia,1988,15 to 19,728800
Malaysia,1988,20 to 24,1257900
Malaysia,1988,25 to 29,1084000
Malaysia,1988,30 to 34,913900
Malaysia,1988,35 to 39,766000
Malaysia,1988,40 to 44,588000
Malaysia,1988,45 to 49,505800
Malaysia,1988,50 to 54,392900
Malaysia,1988,55 to 59,241200
Malaysia,1988,60 to 64,158600
Malaysia,1989,15 to 19,714500
Malaysia,1989,20 to 24,1267900
Malaysia,1989,25 to 29,1136400
Malaysia,1989,30 to 34,939000
Malaysia,1989,35 to 39,791900
Malaysia,1989,40 to 44,619800
Malaysia,1989,45 to 49,515100
Malaysia,1989,50 to 54,401800
Malaysia,1989,55 to 59,238400
Malaysia,1989,60 to 64,154600
Malaysia,1990,15 to 19,748400
Malaysia,1990,20 to 24,1292400
Malaysia,1990,25 to 29,1173500
Malaysia,1990,30 to 34,984600
Malaysia,1990,35 to 39,808500
Malaysia,1990,40 to 44,666200
Malaysia,1990,45 to 49,501500
Malaysia,1990,50 to 54,422600
Malaysia,1990,55 to 59,235300
Malaysia,1990,60 to 64,167100
Malaysia,1992,15 to 19,694000
Malaysia,1992,20 to 24,1337700
Malaysia,1992,25 to 29,1232400
Malaysia,1992,30 to 34,1050100
Malaysia,1992,35 to 39,883000
Malaysia,1992,40 to 44,720900
Malaysia,1992,45 to 49,532000
Malaysia,1992,50 to 54,431600
Malaysia,1992,55 to 59,266200
Malaysia,1992,60 to 64,171100
Malaysia,1993,15 to 19,737200
Malaysia,1993,20 to 24,1320300
Malaysia,1993,25 to 29,1253100
Malaysia,1993,30 to 34,1154600
Malaysia,1993,35 to 39,983100
Malaysia,1993,40 to 44,797100
Malaysia,1993,45 to 49,568900
Malaysia,1993,50 to 54,447800
Malaysia,1993,55 to 59,276400
Malaysia,1993,60 to 64,161600
Malaysia,1995,15 to 19,642400
Malaysia,1995,20 to 24,1359200
Malaysia,1995,25 to 29,1259500
Malaysia,1995,30 to 34,1185900
Malaysia,1995,35 to 39,1035200
Malaysia,1995,40 to 44,851900
Malaysia,1995,45 to 49,644300
Malaysia,1995,50 to 54,446600
Malaysia,1995,55 to 59,292700
Malaysia,1995,60 to 64,175400
Malaysia,1996,15 to 19,700200
Malaysia,1996,20 to 24,1512800
Malaysia,1996,25 to 29,1392100
Malaysia,1996,30 to 34,1261300
Malaysia,1996,35 to 39,1129500
Malaysia,1996,40 to 44,917100
Malaysia,1996,45 to 49,711900
Malaysia,1996,50 to 54,486100
Malaysia,1996,55 to 59,310300
Malaysia,1996,60 to 64,194600
Malaysia,1997,15 to 19,668900
Malaysia,1997,20 to 24,1536800
Malaysia,1997,25 to 29,1435900
Malaysia,1997,30 to 34,1277900
Malaysia,1997,35 to 39,1158100
Malaysia,1997,40 to 44,959700
Malaysia,1997,45 to 49,736800
Malaysia,1997,50 to 54,502600
Malaysia,1997,55 to 59,315700
Malaysia,1997,60 to 64,191500
Malaysia,1998,15 to 19,603400
Malaysia,1998,20 to 24,1513600
Malaysia,1998,25 to 29,1468400
Malaysia,1998,30 to 34,1296900
Malaysia,1998,35 to 39,1183300
Malaysia,1998,40 to 44,996900
Malaysia,1998,45 to 49,773000
Malaysia,1998,50 to 54,530500
Malaysia,1998,55 to 59,315800
Malaysia,1998,60 to 64,201800
Malaysia,1999,15 to 19,612600
Malaysia,1999,20 to 24,1561500
Malaysia,1999,25 to 29,1538300
Malaysia,1999,30 to 34,1319400
Malaysia,1999,35 to 39,1211100
Malaysia,1999,40 to 44,1040100
Malaysia,1999,45 to 49,797000
Malaysia,1999,50 to 54,550800
Malaysia,1999,55 to 59,321800
Malaysia,1999,60 to 64,198800
Malaysia,2000,15 to 19,637600
Malaysia,2000,20 to 24,1588800
Malaysia,2000,25 to 29,1543800
Malaysia,2000,30 to 34,1395900
Malaysia,2000,35 to 39,1250400
Malaysia,2000,40 to 44,1097400
Malaysia,2000,45 to 49,893200
Malaysia,2000,50 to 54,593000
Malaysia,2000,55 to 59,341700
Malaysia,2000,60 to 64,214500
Malaysia,2001,15 to 19,618000
Malaysia,2001,20 to 24,1541300
Malaysia,2001,25 to 29,1541000
Malaysia,2001,30 to 34,1429400
Malaysia,2001,35 to 39,1300800
Malaysia,2001,40 to 44,1136000
Malaysia,2001,45 to 49,926400
Malaysia,2001,50 to 54,634100
Malaysia,2001,55 to 59,359100
Malaysia,2001,60 to 64,213300
Malaysia,2002,15 to 19,581100
Malaysia,2002,20 to 24,1540700
Malaysia,2002,25 to 29,1573200
Malaysia,2002,30 to 34,1435400
Malaysia,2002,35 to 39,1324000
Malaysia,2002,40 to 44,1161400
Malaysia,2002,45 to 49,999100
Malaysia,2002,50 to 54,672200
Malaysia,2002,55 to 59,374400
Malaysia,2002,60 to 64,224600
Malaysia,2003,15 to 19,597000
Malaysia,2003,20 to 24,1614900
Malaysia,2003,25 to 29,1618300
Malaysia,2003,30 to 34,1470300
Malaysia,2003,35 to 39,1356600
Malaysia,2003,40 to 44,1198100
Malaysia,2003,45 to 49,1016600
Malaysia,2003,50 to 54,728800
Malaysia,2003,55 to 59,401600
Malaysia,2003,60 to 64,237300
Malaysia,2004,15 to 19,578800
Malaysia,2004,20 to 24,1550800
Malaysia,2004,25 to 29,1645500
Malaysia,2004,30 to 34,1491200
Malaysia,2004,35 to 39,1385600
Malaysia,2004,40 to 44,1220200
Malaysia,2004,45 to 49,1045600
Malaysia,2004,50 to 54,767600
Malaysia,2004,55 to 59,420000
Malaysia,2004,60 to 64,240900
Malaysia,2005,15 to 19,519700
Malaysia,2005,20 to 24,1576900
Malaysia,2005,25 to 29,1697600
Malaysia,2005,30 to 34,1501700
Malaysia,2005,35 to 39,1391200
Malaysia,2005,40 to 44,1245000
Malaysia,2005,45 to 49,1052900
Malaysia,2005,50 to 54,786300
Malaysia,2005,55 to 59,416100
Malaysia,2005,60 to 64,226000
Malaysia,2006,15 to 19,484500
Malaysia,2006,20 to 24,1612200
Malaysia,2006,25 to 29,1746000
Malaysia,2006,30 to 34,1523100
Malaysia,2006,35 to 39,1408900
Malaysia,2006,40 to 44,1268000
Malaysia,2006,45 to 49,1079700
Malaysia,2006,50 to 54,820300
Malaysia,2006,55 to 59,442100
Malaysia,2006,60 to 64,244200
Malaysia,2007,15 to 19,476400
Malaysia,2007,20 to 24,1615800
Malaysia,2007,25 to 29,1793400
Malaysia,2007,30 to 34,1552500
Malaysia,2007,35 to 39,1434000
Malaysia,2007,40 to 44,1307900
Malaysia,2007,45 to 49,1117000
Malaysia,2007,50 to 54,869900
Malaysia,2007,55 to 59,473500
Malaysia,2007,60 to 64,249100
Malaysia,2008,15 to 19,478800
Malaysia,2008,20 to 24,1619500
Malaysia,2008,25 to 29,1831500
Malaysia,2008,30 to 34,1578300
Malaysia,2008,35 to 39,1437900
Malaysia,2008,40 to 44,1328200
Malaysia,2008,45 to 49,1132600
Malaysia,2008,50 to 54,882500
Malaysia,2008,55 to 59,482700
Malaysia,2008,60 to 64,256000
Malaysia,2009,15 to 19,452400
Malaysia,2009,20 to 24,1614800
Malaysia,2009,25 to 29,1905700
Malaysia,2009,30 to 34,1632500
Malaysia,2009,35 to 39,1464400
Malaysia,2009,40 to 44,1369800
Malaysia,2009,45 to 49,1156700
Malaysia,2009,50 to 54,926800
Malaysia,2009,55 to 59,530000
Malaysia,2009,60 to 64,262200
Malaysia,2010,15 to 19,528400
Malaysia,2010,20 to 24,1882400
Malaysia,2010,25 to 29,2301100
Malaysia,2010,30 to 34,1757200
Malaysia,2010,35 to 39,1529300
Malaysia,2010,40 to 44,1358100
Malaysia,2010,45 to 49,1202800
Malaysia,2010,50 to 54,928400
Malaysia,2010,55 to 59,532300
Malaysia,2010,60 to 64,284000
Malaysia,2011,15 to 19,545300
Malaysia,2011,20 to 24,1882600
Malaysia,2011,25 to 29,2388400
Malaysia,2011,30 to 34,1862900
Malaysia,2011,35 to 39,1568300
Malaysia,2011,40 to 44,1389500
Malaysia,2011,45 to 49,1247500
Malaysia,2011,50 to 54,968400
Malaysia,2011,55 to 59,576900
Malaysia,2011,60 to 64,310900
Malaysia,2012,15 to 19,564200
Malaysia,2012,20 to 24,1914200
Malaysia,2012,25 to 29,2435000
Malaysia,2012,30 to 34,1953400
Malaysia,2012,35 to 39,1608200
Malaysia,2012,40 to 44,1435000
Malaysia,2012,45 to 49,1277100
Malaysia,2012,50 to 54,1033700
Malaysia,2012,55 to 59,648200
Malaysia,2012,60 to 64,352600
